title,author,category,year_published,total_copies
Salina,A. Samad Said,Sastera,1961,3
Ranjau Sepanjang Jalan,Shahnon Ahmad,Sastera,1966,4
Shit,Shahnon Ahmad,Sastera,1999,2
Interlok,Abdullah Hussain,Sastera,1971,3
Imam,Abdullah Hussain,Sastera,1967,2
Anak Mat Lela Gila,Ishak Haji Muhammad,Sastera,1941,2
Putera Gunung Tahan,Ishak Haji Muhammad,Sastera,1937,2
Hujan Pagi,A. Samad Said,Sastera,1986,2
Arena Wati: Kumpulan Cerpen,Arena Wati,Sastera,1975,2
Ombak Bukan Kerana Angin,Rejab FI,Sastera,1982,2
Tombiruo: Penunggu Rimba,Ramlee Awang Murshid,Thriller,2001,5
Bagaikan Puteri,Ramlee Awang Murshid,Thriller,2003,4
Melunas Rindu,Ramlee Awang Murshid,Thriller,1999,4
Sumpahan Pontianak,Ramlee Awang Murshid,Thriller,2005,3
Adam & Hawa,Ramlee Awang Murshid,Thriller,2007,3
Leftenan Adnan Wira Bangsa,Ramlee Awang Murshid,Sejarah,2006,4
Laksamana Bentan,Ramlee Awang Murshid,Sejarah,2008,3
Sejarah Melayu,Tun Seri Lanang,Sejarah,1612,2
Hikayat Hang Tuah,Pengarang Anonim,Sejarah,1700,2
Panglima Awang,Harun Aminurrashid,Sejarah,1958,3
Hikayat Merong Mahawangsa,Pengarang Anonim,Sejarah,1821,2
Tenggelamnya Kapal Van Der Wijck,Hamka,Agama,1938,4
Di Bawah Lindungan Kaabah,Hamka,Agama,1938,3
Tasauf Moden,Hamka,Agama,1939,3
Merantau ke Deli,Hamka,Agama,1939,2
Kimia Kebahagiaan,Al-Ghazali (Terjemahan),Agama,2010,4
Ihya Ulumuddin Ringkasan,Al-Ghazali (Terjemahan),Agama,2012,3
Sains Cara Mudah,Dr. Sharipah Muda,Sains,2015,3
Matematik Asas,Prof. Mohd Noor,Sains,2018,4
Biologi Tingkatan 4,Kementerian Pendidikan Malaysia,Sains,2020,5
Fizik Tingkatan 5,Kementerian Pendidikan Malaysia,Sains,2020,5
Motivasi Diri,Dato Dr. Fadzilah Kamsah,Motivasi,2005,5
7 Tabiat Remaja Cemerlang,Mohd Khairul Anuar,Motivasi,2010,4
Berani Gagal,Dato Dr. Fadzilah Kamsah,Motivasi,2008,4
Diwana,Usman Awang,Puisi,1975,2
Puisi-puisi Pilihan,Usman Awang,Puisi,1985,3
Denyut Nadi Sastera,Muhammad Hj Salleh,Puisi,1979,2
Cinta Ini Membunuhku,Hlovate,Remaja,2008,5
Versus,Hlovate,Remaja,2007,4
Contengan Jalanan,Hlovate,Remaja,2009,4
Rooftop Rant,Hlovate,Remaja,2011,3
5 Tahun 5 Bulan,Ahadiat Akashah,Remaja,2003,4
